vinregex,year,makemodel,vinchar1,vinchar2,vinchar3,vinchar4,vinchar5,vinchar6,vinchar7,vinchar8,vinchar9,vinchar10,vinchar11,vinchar12,vinchar13,vinchar14,vinchar15,vinchar16,vinchar17,make,model
7FARW2H8XJE103221,2018,HONDA CRV EXL,7,15,10,27,32,2,17,8,33,19,14,1,0,3,2,2,1,HONDA,CRV
5J6RW1H57JA001793,2018,HONDA CRV EX,5,19,6,27,32,1,17,5,7,19,10,0,0,1,7,9,3,HONDA,CRV
SALWR2EF6EA313475,2014,LANDROVER RANGE ROVER SPORT SUPERCHARGED,28,10,21,32,27,2,14,15,6,14,10,3,1,3,4,7,5,LANDROVER,RANGE
1G1PC5SH8B7244536,2011,CHEVROLET CRUZE LS,1,16,1,25,12,5,28,17,8,11,7,2,4,4,5,3,6,CHEVROLET,CRUZE
2GNAXKEV8K6175338,2019,CHEVROLET EQUINOX LT,2,16,23,10,33,20,14,31,8,20,6,1,7,5,3,3,8,CHEVROLET,EQUINOX
WA1BNBFY9J2079817,2018,AUDI Q5 PREMIUM PLUS,32,10,1,11,23,11,15,34,9,19,2,0,7,9,8,1,7,AUDI,Q5
1C4PJMLX6KD355651,2019,JEEP CHEROKEE LATITUDE PLUS,1,12,4,25,19,22,21,33,6,20,13,3,5,5,6,5,1,JEEP,CHEROKEE
1GCRYDED8KZ174867,2019,CHEVROLET SILVERADO 1500 LT,1,16,12,27,34,13,14,13,8,20,35,1,7,4,8,6,7,CHEVROLET,SILVERADO
1HGCV1F33KA001079,2019,HONDA ACCORD SPORT,1,17,16,12,31,1,15,3,3,20,10,0,0,1,0,7,9,HONDA,ACCORD
JTDZN3EU9GJ049515,2016,TOYOTA PRIUS V THREE,19,29,13,35,23,3,14,30,9,16,19,0,4,9,5,1,5,TOYOTA,PRIUS
5J6RW1H51JA003801,2018,HONDA CRV EX,5,19,6,27,32,1,17,5,1,19,10,0,0,3,8,0,1,HONDA,CRV
1GNEVFKW5KJ179149,2019,CHEVROLET TRAVERSE LS,1,16,23,14,31,15,20,32,5,20,19,1,7,9,1,4,9,CHEVROLET,TRAVERSE
5J8TC2H70KL017773,2019,ACURA RDX ADVANCE PACKAGE,5,19,8,29,12,2,17,7,0,20,21,0,1,7,7,7,3,ACURA,RDX
KMHD84LF5KU783020,2019,HYUNDAI ELANTRA SEL,20,22,17,13,8,4,21,15,5,20,30,7,8,3,0,2,0,HYUNDAI,ELANTRA
5J8TB4H36GL014802,2016,ACURA RDX BASE,5,19,8,29,11,4,17,3,6,16,21,0,1,4,8,0,2,ACURA,RDX
2HKRM4H5XGH687472,2016,HONDA CRV EX,2,17,20,27,22,4,17,5,33,16,17,6,8,7,4,7,2,HONDA,CRV
5YFBURHE7KP898381,2019,TOYOTA COROLLA SE,5,34,15,11,30,27,17,14,7,20,25,8,9,8,3,8,1,TOYOTA,COROLLA
1FTEW1CP5FKF11798,2015,FORD F150 XLT,1,15,29,14,32,1,12,25,5,15,20,15,1,1,7,9,8,FORD,F150
3KPC24A33KE058265,2019,HYUNDAI ACCENT SE,3,20,25,12,2,4,10,3,3,20,14,0,5,8,2,6,5,HYUNDAI,ACCENT
2FMPK3K9XKBB12159,2019,FORD EDGE TITANIUM,2,15,22,25,20,3,20,9,33,20,11,11,1,2,1,5,9,FORD,EDGE
1GYS4BKJ8KR196633,2019,CADILLAC ESCALADE LUXURY,1,16,34,28,4,11,20,19,8,20,27,1,9,6,6,3,3,CADILLAC,ESCALADE
5N1AZ2MG0JN196227,2018,NISSAN MURANO S,5,23,1,10,35,2,22,16,0,19,23,1,9,6,2,2,7,NISSAN,MURANO
2FMHK6D85JBA01138,2018,FORD FLEX LIMITED,2,15,22,17,20,6,13,8,5,19,11,10,0,1,1,3,8,FORD,FLEX
WMWXP5C53K2H95213,2019,MINI HARDTOP COOPER,32,22,32,33,25,5,12,5,3,20,2,17,9,5,2,1,3,MINI,HARDTOP
4JGED6EB3KA133478,2019,MERCEDESBENZ AMG GLE 43 COUPE 4MATIC,4,19,16,14,13,6,14,11,3,20,10,1,3,3,4,7,8,MERCEDESBENZ,AMG
5YFBURHE5KP907868,2019,TOYOTA COROLLA SE,5,34,15,11,30,27,17,14,5,20,25,9,0,7,8,6,8,TOYOTA,COROLLA
YV4952CZ1D1664769,2013,VOLVO XC90 AWD 4DR,34,31,4,9,5,2,12,35,1,13,1,6,6,4,7,6,9,VOLVO,XC90
1N6AD0EV8JN715638,2018,NISSAN FRONTIER SV,1,23,6,10,13,0,14,31,8,19,23,7,1,5,6,3,8,NISSAN,FRONTIER
1HGCV1F54JA266982,2018,HONDA ACCORD EXL,1,17,16,12,31,1,15,5,4,19,10,2,6,6,9,8,2,HONDA,ACCORD
NMTKHMBX5KR071678,2019,TOYOTA CHR LIMITED,23,22,29,20,17,22,11,33,5,20,27,0,7,1,6,7,8,TOYOTA,CHR
1FADP3K27FL372025,2015,FORD FOCUS SE,1,15,10,13,25,3,20,2,7,15,21,3,7,2,0,2,5,FORD,FOCUS
5TFAZ5CNXHX024209,2017,TOYOTA TACOMA SR5,5,29,15,10,35,5,12,23,33,17,33,0,2,4,2,0,9,TOYOTA,TACOMA
1GCGTCEN4J1115403,2018,CHEVROLET COLORADO LT CREW CAB SHORT BOX,1,16,12,16,29,12,14,23,4,19,1,1,1,5,4,0,3,CHEVROLET,COLORADO
3GNAXXEV3KL174154,2019,CHEVROLET EQUINOX L,3,16,23,10,33,33,14,31,3,20,21,1,7,4,1,5,4,CHEVROLET,EQUINOX
3GNAXUEV9KL176554,2019,CHEVROLET EQUINOX LT,3,16,23,10,33,30,14,31,9,20,21,1,7,6,5,5,4,CHEVROLET,EQUINOX
5J6RE4H36AL074001,2010,HONDA CRV LX,5,19,6,27,14,4,17,3,6,10,21,0,7,4,0,0,1,HONDA,CRV
5TDJZRFH3KS933337,2019,TOYOTA HIGHLANDER SE,5,29,13,19,35,27,15,17,3,20,28,9,3,3,3,3,7,TOYOTA,HIGHLANDER
1FMCU9HD8KUA13504,2019,FORD ESCAPE SEL,1,15,22,12,30,9,17,13,8,20,30,10,1,3,5,0,4,FORD,ESCAPE
WP1AA2A2XBLA02528,2011,PORSCHE CAYENNE BASE,32,25,1,10,10,2,10,2,33,11,21,10,0,2,5,2,8,PORSCHE,CAYENNE
WBAJA9C5XKB389036,2019,BMW 530E IPERFORMANCE,32,11,10,19,10,9,12,5,33,20,11,3,8,9,0,3,6,BMW,530E
MAJ6S3GL7KC252020,2019,FORD ECOSPORT SE,22,10,19,6,28,3,16,21,7,20,12,2,5,2,0,2,0,FORD,ECOSPORT
3FA6P0HD5HR243687,2017,FORD FUSION SE,3,15,10,6,25,0,17,13,5,17,27,2,4,3,6,8,7,FORD,FUSION
2G1FC1E32D9173288,2013,CHEVROLET CAMARO 2LT,2,16,1,15,12,1,14,3,2,13,9,1,7,3,2,8,8,CHEVROLET,CAMARO
KMHD74LF3KU761004,2019,HYUNDAI ELANTRA SE,20,22,17,13,7,4,21,15,3,20,30,7,6,1,0,0,4,HYUNDAI,ELANTRA
3FA6P0H73GR273022,2016,FORD FUSION SE,3,15,10,6,25,0,17,7,3,16,27,2,7,3,0,2,2,FORD,FUSION
3GKALPEV3KL190430,2019,GMC TERRAIN SLT,3,16,20,10,21,25,14,31,3,20,21,1,9,0,4,3,0,GMC,TERRAIN
JTMCY7AJ9K4075636,2019,TOYOTA LAND CRUISER BASE,19,29,22,12,34,7,10,19,9,20,4,0,7,5,6,3,6,TOYOTA,LAND
JTNKHMBX6K1026288,2019,TOYOTA CHR XLE,19,29,23,20,17,22,11,33,6,20,1,0,2,6,2,8,8,TOYOTA,CHR
5UXTR9C55KLE14439,2019,BMW X3 XDRIVE30I,5,30,33,29,27,9,12,5,5,20,21,14,1,4,4,3,9,BMW,X3
1HGCR2F38HA200809,2017,HONDA ACCORD LX,1,17,16,12,27,2,15,3,8,17,10,2,0,0,8,0,9,HONDA,ACCORD
JTJBARBZ3G2056483,2016,LEXUS NX 200T BASE,19,29,19,11,10,27,11,35,3,16,2,0,5,6,4,8,3,LEXUS,NX
5UXTR9C57JLA13859,2018,BMW X3 XDRIVE30I,5,30,33,29,27,9,12,5,7,19,21,10,1,3,8,5,9,BMW,X3
3VV3B7AX0JM221562,2018,VOLKSWAGEN TIGUAN 20T SE,3,31,31,3,11,7,10,33,0,19,22,2,2,1,5,6,2,VOLKSWAGEN,TIGUAN
5LMTJ3DH9HUL56861,2017,LINCOLN MKC RESERVE,5,21,22,29,19,3,13,17,9,17,30,21,5,6,8,6,1,LINCOLN,MKC
SALWR2RV0KA817923,2019,LANDROVER RANGE ROVER SPORT HSE,28,10,21,32,27,2,27,31,0,20,10,8,1,7,9,2,3,LANDROVER,RANGE
3GCUKREC7JG606685,2018,CHEVROLET SILVERADO 1500 1LT,3,16,12,30,20,27,14,12,7,19,16,6,0,6,6,8,5,CHEVROLET,SILVERADO
3GTP1NEC1JG411609,2018,GMC SIERRA 1500 SLT,3,16,29,25,1,23,14,12,1,19,16,4,1,1,6,0,9,GMC,SIERRA
1FTEX1EB8JKG11112,2018,FORD F150 XLT,1,15,29,14,33,1,14,11,8,19,20,16,1,1,1,1,2,FORD,F150
4T1BZ1HK6KU023090,2019,TOYOTA CAMRY XSE,4,29,1,11,35,1,17,20,6,20,30,0,2,3,0,9,0,TOYOTA,CAMRY
KMHC75LC3KU120717,2019,HYUNDAI IONIQ HYBRID SEL,20,22,17,12,7,5,21,12,3,20,30,1,2,0,7,1,7,HYUNDAI,IONIQ
KM8SM4HF6KU304681,2019,HYUNDAI SANTA FE SE,20,22,8,28,22,4,17,15,6,20,30,3,0,4,6,8,1,HYUNDAI,SANTA
5NPE24AF9HH505818,2017,HYUNDAI SONATA BASE,5,23,25,14,2,4,10,15,9,17,17,5,0,5,8,1,8,HYUNDAI,SONATA
3GCUKSEJ9JG606189,2018,CHEVROLET SILVERADO 1500 LTZ,3,16,12,30,20,28,14,19,9,19,16,6,0,6,1,8,9,CHEVROLET,SILVERADO
3TMCZ5AN8KM198210,2019,TOYOTA TACOMA TRD OFF ROAD,3,29,22,12,35,5,10,23,8,20,22,1,9,8,2,1,0,TOYOTA,TACOMA
1V2EP2CA3JC599945,2018,VOLKSWAGEN ATLAS 20T SEL,1,31,2,14,25,2,12,10,3,19,12,5,9,9,9,4,5,VOLKSWAGEN,ATLAS
5XYKWDA25DG363022,2013,KIA SORENTO SX,5,33,34,20,32,13,10,2,5,13,16,3,6,3,0,2,2,KIA,SORENTO
JF2SJAHCXGH474271,2016,SUBARU FORESTER 25I LIMITED,19,15,2,28,19,10,17,12,33,16,17,4,7,4,2,7,1,SUBARU,FORESTER
1GKKNPLS3KZ154625,2019,GMC ACADIA DENALI,1,16,20,20,23,25,21,28,3,20,35,1,5,4,6,2,5,GMC,ACADIA
MAJ6S3GL6KC252350,2019,FORD ECOSPORT SE,22,10,19,6,28,3,16,21,6,20,12,2,5,2,3,5,0,FORD,ECOSPORT
WDDSJ4EB0KN739534,2019,MERCEDESBENZ CLA 250 BASE,32,13,13,28,19,4,14,11,0,20,23,7,3,9,5,3,4,MERCEDESBENZ,CLA
5J8TB4H37GL025212,2016,ACURA RDX BASE,5,19,8,29,11,4,17,3,7,16,21,0,2,5,2,1,2,ACURA,RDX
5TDKZRFH1KS554633,2019,TOYOTA HIGHLANDER XLE,5,29,13,20,35,27,15,17,1,20,28,5,5,4,6,3,3,TOYOTA,HIGHLANDER
2G1105S34K9120667,2019,CHEVROLET IMPALA PREMIER 2LZ,2,16,1,1,0,5,28,3,4,20,9,1,2,0,6,6,7,CHEVROLET,IMPALA
1C6SRFBT3KN726764,2019,RAM 1500 BIG HORN,1,12,6,28,27,15,11,29,3,20,23,7,2,6,7,6,4,RAM,1500
WBA4J3C5XKBL08997,2019,BMW 430 GRAN COUPE I XDRIVE,32,11,10,4,19,3,12,5,33,20,11,21,0,8,9,9,7,BMW,430
3GCUKREC4FG215954,2015,CHEVROLET SILVERADO 1500 1LT,3,16,12,30,20,27,14,12,4,15,16,2,1,5,9,5,4,CHEVROLET,SILVERADO
4A4AR3AU5DE012059,2013,MITSUBISHI OUTLANDER SPORT ES,4,10,4,10,27,3,10,30,5,13,14,0,1,2,0,5,9,MITSUBISHI,OUTLANDER
JTEBU5JR1G5391451,2016,TOYOTA 4RUNNER SR5,19,29,14,11,30,5,19,27,1,16,5,3,9,1,4,5,1,TOYOTA,4RUNNER
SADHD2S13K1F61516,2019,JAGUAR IPACE HSE,28,10,13,17,13,2,28,1,3,20,1,15,6,1,5,1,6,JAGUAR,IPACE
3C4PDCAB8JT530970,2018,DODGE JOURNEY SE,3,12,4,25,13,12,10,11,8,19,29,5,3,0,9,7,0,DODGE,JOURNEY
3C6RR6KT6EG264289,2014,RAM 1500 TRADESMANEXPRESS,3,12,6,27,27,6,20,29,6,14,16,2,6,4,2,8,9,RAM,1500
5TDEZ3DC1KS216182,2019,TOYOTA SIENNA SE,5,29,13,14,35,3,13,12,1,20,28,2,1,6,1,8,2,TOYOTA,SIENNA
4T1B11HK9KU699251,2019,TOYOTA CAMRY LE,4,29,1,11,1,1,17,20,9,20,30,6,9,9,2,5,1,TOYOTA,CAMRY
2C4RC1BG2KR555121,2019,CHRYSLER PACIFICA TOURING L,2,12,4,27,12,1,11,16,2,20,27,5,5,5,1,2,1,CHRYSLER,PACIFICA
5TDDZ3DC6KS214147,2019,TOYOTA SIENNA XLE,5,29,13,13,35,3,13,12,6,20,28,2,1,4,1,4,7,TOYOTA,SIENNA
JTJYARBZ7G2023030,2016,LEXUS NX 200T BASE,19,29,19,34,10,27,11,35,7,16,2,0,2,3,0,3,0,LEXUS,NX
5J8TC2H39KL021849,2019,ACURA RDX BASE,5,19,8,29,12,2,17,3,9,20,21,0,2,1,8,4,9,ACURA,RDX
1FTFW1EV8AFC85113,2010,FORD F150 XLT,1,15,29,15,32,1,14,31,8,10,15,12,8,5,1,1,3,FORD,F150
5YFBURHE8KP899569,2019,TOYOTA COROLLA SE,5,34,15,11,30,27,17,14,8,20,25,8,9,9,5,6,9,TOYOTA,COROLLA
3MZBN1K76JM258075,2018,MAZDA MAZDA3 SPORT,3,22,35,11,23,1,20,7,6,19,22,2,5,8,0,7,5,MAZDA,MAZDA3
1GNSKJKC8GR192913,2016,CHEVROLET SUBURBAN LTZ,1,16,23,28,20,19,20,12,8,16,27,1,9,2,9,1,3,CHEVROLET,SUBURBAN
JN8AZ18W59W143162,2009,NISSAN MURANO SL,19,23,8,10,35,1,8,32,5,9,32,1,4,3,1,6,2,NISSAN,MURANO
1HGCV1F12KA000259,2019,HONDA ACCORD LX,1,17,16,12,31,1,15,1,2,20,10,0,0,0,2,5,9,HONDA,ACCORD
JTMBFREV5JD256158,2018,TOYOTA RAV4 LE,19,29,22,11,15,27,14,31,5,19,13,2,5,6,1,5,8,TOYOTA,RAV4
1V2LR2CA9JC513409,2018,VOLKSWAGEN ATLAS 36L SE WTECHNOLOGY,1,31,2,21,27,2,12,10,9,19,12,5,1,3,4,0,9,VOLKSWAGEN,ATLAS
2FMPK4K99KBB04253,2019,FORD EDGE TITANIUM,2,15,22,25,20,4,20,9,9,20,11,11,0,4,2,5,3,FORD,EDGE
3GNAXKEV8KS541686,2019,CHEVROLET EQUINOX LT,3,16,23,10,33,20,14,31,8,20,28,5,4,1,6,8,6,CHEVROLET,EQUINOX
1HGCV1F46JA265677,2018,HONDA ACCORD EX,1,17,16,12,31,1,15,4,6,19,10,2,6,5,6,7,7,HONDA,ACCORD
5TFCZ5AN1HX088313,2017,TOYOTA TACOMA TRD OFF ROAD,5,29,15,12,35,5,10,23,1,17,33,0,8,8,3,1,3,TOYOTA,TACOMA
4S3BMBH60E3009899,2014,SUBARU LEGACY 25I SPORT,4,28,3,11,22,11,17,6,0,14,3,0,0,9,8,9,9,SUBARU,LEGACY
WBA8A3C55GK690137,2016,BMW 320 I XDRIVE,32,11,10,8,10,3,12,5,5,16,20,6,9,0,1,3,7,BMW,320
1FAHP3F22CL410736,2012,FORD FOCUS SE,1,15,10,17,25,3,15,2,2,12,21,4,1,0,7,3,6,FORD,FOCUS
19XFB2F57EE261563,2014,HONDA CIVIC LX,1,9,33,15,11,2,15,5,7,14,14,2,6,1,5,6,3,HONDA,CIVIC
5TFCZ5AN1KX171733,2019,TOYOTA TACOMA TRD OFF ROAD,5,29,15,12,35,5,10,23,1,20,33,1,7,1,7,3,3,TOYOTA,TACOMA
4T1B11HK1KU705043,2019,TOYOTA CAMRY XLE,4,29,1,11,1,1,17,20,1,20,30,7,0,5,0,4,3,TOYOTA,CAMRY
4S4BSBCC1G3295487,2016,SUBARU OUTBACK 25I PREMIUM,4,28,4,11,28,11,12,12,1,16,3,2,9,5,4,8,7,SUBARU,OUTBACK
JTMRFREV2JJ255131,2018,TOYOTA RAV4 XLE,19,29,22,27,15,27,14,31,2,19,19,2,5,5,1,3,1,TOYOTA,RAV4
1N4AL3AP2HC224587,2017,NISSAN ALTIMA 25 SV,1,23,4,10,21,3,10,25,2,17,12,2,2,4,5,8,7,NISSAN,ALTIMA
4S4BSAHC6K3248516,2019,SUBARU OUTBACK 25I,4,28,4,11,28,10,17,12,6,20,3,2,4,8,5,1,6,SUBARU,OUTBACK
4JGBF7BE8AA610471,2010,MERCEDESBENZ GL 450 4MATIC,4,19,16,11,15,7,11,14,8,10,10,6,1,0,4,7,1,MERCEDESBENZ,GL
2FMPK4G97KBB24235,2019,FORD EDGE SE,2,15,22,25,20,4,16,9,7,20,11,11,2,4,2,3,5,FORD,EDGE
1GNKVHKD4GJ148768,2016,CHEVROLET TRAVERSE 2LT,1,16,23,20,31,17,20,13,4,16,19,1,4,8,7,6,8,CHEVROLET,TRAVERSE
5YFBURHE4KP899049,2019,TOYOTA COROLLA SE,5,34,15,11,30,27,17,14,4,20,25,8,9,9,0,4,9,TOYOTA,COROLLA
3GNAXUEV8KL177663,2019,CHEVROLET EQUINOX LT,3,16,23,10,33,30,14,31,8,20,21,1,7,7,6,6,3,CHEVROLET,EQUINOX
KMHCT4AE7FU855278,2015,HYUNDAI ACCENT GLS,20,22,17,12,29,4,10,14,7,15,30,8,5,5,2,7,8,HYUNDAI,ACCENT
JM1NDAB77K0301023,2019,MAZDA MX5 MIATA SPORT,19,22,1,23,13,10,11,7,7,20,0,3,0,1,0,2,3,MAZDA,MX5
3GTU2PEJ2JG541442,2018,GMC SIERRA 1500 DENALI,3,16,29,30,2,25,14,19,2,19,16,5,4,1,4,4,2,GMC,SIERRA
WBA8E9C50GK648272,2016,BMW 328 I,32,11,10,8,14,9,12,5,0,16,20,6,4,8,2,7,2,BMW,328
1N4AA6AP4JC408085,2018,NISSAN MAXIMA 35 S,1,23,4,10,10,6,10,25,4,19,12,4,0,8,0,8,5,NISSAN,MAXIMA
3C4PDCABXJT530971,2018,DODGE JOURNEY SE,3,12,4,25,13,12,10,11,33,19,29,5,3,0,9,7,1,DODGE,JOURNEY
2CTFLUE53B6318822,2011,GMC TERRAIN SLT1,2,12,29,15,21,30,14,5,3,11,6,3,1,8,8,2,2,GMC,TERRAIN
JA4AP3AU9GZ024638,2016,MITSUBISHI OUTLANDER SPORT 20 ES,19,10,4,10,25,3,10,30,9,16,35,0,2,4,6,3,8,MITSUBISHI,OUTLANDER
1FTFW1CV3AKB36604,2010,FORD F150 XLT SUPERCREW,1,15,29,15,32,1,12,31,3,10,20,11,3,6,6,0,4,FORD,F150
1C6SRFMT5KN719232,2019,RAM 1500 BIG HORN,1,12,6,28,27,15,22,29,5,20,23,7,1,9,2,3,2,RAM,1500
5TFRM5F14KX136764,2019,TOYOTA TUNDRA SR,5,29,15,27,22,5,15,1,4,20,33,1,3,6,7,6,4,TOYOTA,TUNDRA
5J6TF2H58DL005212,2013,HONDA CROSSTOUR EXL,5,19,6,29,15,2,17,5,8,13,21,0,0,5,2,1,2,HONDA,CROSSTOUR
JF2SKAWC7KH430110,2019,SUBARU FORESTER 25I TOURING,19,15,2,28,20,10,32,12,7,20,17,4,3,0,1,1,0,SUBARU,FORESTER
