web-scraper-order,web-scraper-start-url,vinregex,makemodel
"1541787987-319","https://www.cars.com/vehicledetail/detail/754190581/overview/","null","New 2018 Chevrolet Colorado LT Crew Cab, Short Box"
"1541787454-75","https://www.cars.com/vehicledetail/detail/754190825/overview/","1C6SRFMT7KN719233","New 2019 RAM 1500 Big Horn"
"1541788488-552","https://www.cars.com/vehicledetail/detail/754190345/overview/","null","null"
"1541790433-1359","https://www.cars.com/vehicledetail/detail/754189440/overview/","1N6AD0EV8JN715638","Used 2018 Nissan Frontier SV"
"1541790460-1368","https://www.cars.com/vehicledetail/detail/754189428/overview/","1HGCV1F54JA266982","New 2018 Honda Accord EX-L"
"1541789579-1050","https://www.cars.com/vehicledetail/detail/754189838/overview/","NMTKHMBX5KR071678","New 2019 Toyota C-HR Limited"
"1541787544-118","https://www.cars.com/vehicledetail/detail/754190782/overview/","null","New 2017 GMC Yukon 2WD"
"1541790922-1522","https://www.cars.com/vehicledetail/detail/754189214/overview/","null","null"
"1541787408-53","https://www.cars.com/vehicledetail/detail/754190847/overview/","null","Used 2001 Ford Taurus SES"
"1541789433-987","https://www.cars.com/vehicledetail/detail/754189908/overview/","1FMYU93135KA20007","Used 2005 Ford Escape XLT 4WD"
"1541789866-1167","https://www.cars.com/vehicledetail/detail/754189706/overview/","1FADP3K27FL372025","Used 2015 Ford Focus SE"
"1541787298-1","https://www.cars.com/vehicledetail/detail/754190899/overview/","3GCPCREC8JG182816","New 2018 Chevrolet Silverado 1500 1LT"
"1541789156-861","https://www.cars.com/vehicledetail/detail/754190035/overview/","5TFAZ5CNXHX024209","Used 2017 Toyota Tacoma SR5"
"1541791256-1642","https://www.cars.com/vehicledetail/detail/754189055/overview/","JH4DC53024S015691","Used 2004 Acura RSX Type S"
"1541788465-541","https://www.cars.com/vehicledetail/detail/754190356/overview/","null","null"
"1541787952-302","https://www.cars.com/vehicledetail/detail/754190598/overview/","1GCGTCEN4J1115403","New 2018 Chevrolet Colorado LT Crew Cab, Short Box"
"1541789104-837","https://www.cars.com/vehicledetail/detail/754190059/overview/","3GNAXXEV3KL174154","New 2019 Chevrolet Equinox L"
"1541788747-668","https://www.cars.com/vehicledetail/detail/754190229/overview/","3GNAXUEV9KL176554","New 2019 Chevrolet Equinox LT"
"1541790022-1229","https://www.cars.com/vehicledetail/detail/754189630/overview/","JTHBF30G325034072","Used 2002 Lexus ES 300 Base"
"1541788089-365","https://www.cars.com/vehicledetail/detail/754190533/overview/","5J6RE4H36AL074001","Used 2010 Honda CR-V LX"
"1541789005-791","https://www.cars.com/vehicledetail/detail/754190106/overview/","null","New 2018 Chevrolet Silverado 1500 2WD Standard Box Reg Cab"
"1541787729-200","https://www.cars.com/vehicledetail/detail/754190700/overview/","5TDJZRFH3KS933337","New 2019 Toyota Highlander SE"
"1541787553-122","https://www.cars.com/vehicledetail/detail/754190778/overview/","null","New 2018 GMC Acadia Denali AWD"
"1541790103-1257","https://www.cars.com/vehicledetail/detail/754189594/overview/","1FMCU9HD8KUA13504","New 2019 Ford Escape SEL"
"1541791458-1693","https://www.cars.com/vehicledetail/detail/754188957/overview/","WP1AA2A2XBLA02528","Used 2011 Porsche Cayenne Base"
"1541788790-689","https://www.cars.com/vehicledetail/detail/754190208/overview/","WBAJA9C5XKB389036","New 2019 BMW 530e iPerformance"
"1541790306-1312","https://www.cars.com/vehicledetail/detail/754189503/overview/","3D7LS38C55G786152","Used 2005 Dodge Ram 3500 SLT"
"1541791949-1839","https://www.cars.com/vehicledetail/detail/754188717/overview/","MAJ6S3GL7KC252020","New 2019 Ford EcoSport SE"
"1541792061-1880","https://www.cars.com/vehicledetail/detail/754188662/overview/","3FA6P0HD5HR243687","Certified 2017 Ford Fusion SE"
"1541787889-272","https://www.cars.com/vehicledetail/detail/754190628/overview/","null","New 2018 Chevrolet Colorado Z71/ZR2 Crew Cab, Short Box"
"1541791172-1610","https://www.cars.com/vehicledetail/detail/754189095/overview/","2G1FC1E32D9173288","Used 2013 Chevrolet Camaro 2LT"
"1541788705-652","https://www.cars.com/vehicledetail/detail/754190245/overview/","null","Used 2009 Acura MDX Base"
"1541788287-456","https://www.cars.com/vehicledetail/detail/754190441/overview/","KMHD74LF3KU761004","New 2019 Hyundai Elantra SE"
"1541787928-291","https://www.cars.com/vehicledetail/detail/754190609/overview/","null","New 2018 Chevrolet Colorado Z71/ZR2 Crew Cab, Short Box"
"1541789913-1186","https://www.cars.com/vehicledetail/detail/754189683/overview/","3FA6P0H73GR273022","Used 2016 Ford Fusion SE"
"1541790256-1290","https://www.cars.com/vehicledetail/detail/754189527/overview/","3GKALPEV3KL190430","New 2019 GMC Terrain SLT"
"1541788412-515","https://www.cars.com/vehicledetail/detail/754190382/overview/","JTMCY7AJ9K4075636","New 2019 Toyota Land Cruiser Base"
"1541791089-1583","https://www.cars.com/vehicledetail/detail/754189135/overview/","JTNKHMBX6K1026288","New 2019 Toyota C-HR XLE"
"1541789037-806","https://www.cars.com/vehicledetail/detail/754190090/overview/","2GCEK13N661339209","Used 2006 Chevrolet Silverado 1500 LT Crew Cab"
"1541788438-528","https://www.cars.com/vehicledetail/detail/754190369/overview/","5UXTR9C55KLE14439","New 2019 BMW X3 xDrive30i"
"1541788580-594","https://www.cars.com/vehicledetail/detail/754190303/overview/","1HGCR2F38HA200809","Used 2017 Honda Accord LX"
"1541790458-1367","https://www.cars.com/vehicledetail/detail/754189429/overview/","JTJBARBZ3G2056483","Certified 2016 Lexus NX 200t Base"
"1541790187-1266","https://www.cars.com/vehicledetail/detail/754189561/overview/","5UXTR9C57JLA13859","Used 2018 BMW X3 xDrive30i"
"1541788203-417","https://www.cars.com/vehicledetail/detail/754190480/overview/","3VV3B7AX0JM221562","New 2018 Volkswagen Tiguan 2.0T SE"
"1541791244-1639","https://www.cars.com/vehicledetail/detail/754189061/overview/","5LMTJ3DH9HUL56861","Used 2017 Lincoln MKC Reserve"
"1541791027-1559","https://www.cars.com/vehicledetail/detail/754189165/overview/","SALWR2RV0KA817923","New 2019 Land Rover Range Rover Sport HSE"
"1541789517-1022","https://www.cars.com/vehicledetail/detail/754189868/overview/","3GCUKREC7JG606685","New 2018 Chevrolet Silverado 1500 1LT"
"1541788118-378","https://www.cars.com/vehicledetail/detail/754190519/overview/","3GTP1NEC1JG411609","Used 2018 GMC Sierra 1500 SLT"
"1541788430-524","https://www.cars.com/vehicledetail/detail/754190373/overview/","1FTEX1EB8JKG11112","New 2018 Ford F-150 XLT"
"1541790248-1286","https://www.cars.com/vehicledetail/detail/754189531/overview/","4T1BZ1HK6KU023090","New 2019 Toyota Camry XSE"
"1541790540-1394","https://www.cars.com/vehicledetail/detail/754189389/overview/","KMHC75LC3KU120717","New 2019 Hyundai Ioniq Hybrid SEL"
"1541790464-1370","https://www.cars.com/vehicledetail/detail/754189426/overview/","KM8SM4HF6KU304681","New 2019 Hyundai Santa Fe SE"
"1541789736-1115","https://www.cars.com/vehicledetail/detail/754189765/overview/","5NPE24AF9HH505818","Used 2017 Hyundai Sonata Base"
"1541789467-1001","https://www.cars.com/vehicledetail/detail/754189892/overview/","3GCUKSEJ9JG606189","New 2018 Chevrolet Silverado 1500 LTZ"
"1541790934-1527","https://www.cars.com/vehicledetail/detail/754189209/overview/","3TMCZ5AN8KM198210","New 2019 Toyota Tacoma TRD Off Road"
"1541787530-111","https://www.cars.com/vehicledetail/detail/754190789/overview/","null","New 2017 GMC Yukon 4WD"
"1541789905-1183","https://www.cars.com/vehicledetail/detail/754189687/overview/","1V2EP2CA3JC599945","New 2018 Volkswagen Atlas 2.0T SEL"
"1541790668-1433","https://www.cars.com/vehicledetail/detail/754189331/overview/","5XYKWDA25DG363022","Used 2013 Kia Sorento SX"
"1541789546-1034","https://www.cars.com/vehicledetail/detail/754189854/overview/","JF2SJAHCXGH474271","Certified 2016 Subaru Forester 2.5i Limited"
"1541789191-877","https://www.cars.com/vehicledetail/detail/754190019/overview/","1GKKNPLS3KZ154625","New 2019 GMC Acadia Denali"
"1541791967-1845","https://www.cars.com/vehicledetail/detail/754188708/overview/","MAJ6S3GL6KC252350","New 2019 Ford EcoSport SE"
"1541787319-11","https://www.cars.com/vehicledetail/detail/754190889/overview/","WDCTG4EB8FJ137579","Used 2015 Mercedes-Benz GLA 250"
"1541790024-1230","https://www.cars.com/vehicledetail/detail/754189629/overview/","WDDSJ4EB0KN739534","New 2019 Mercedes-Benz CLA 250 Base"
"1541788854-720","https://www.cars.com/vehicledetail/detail/754190177/overview/","5J8TB4H37GL025212","Used 2016 Acura RDX Base"
"1541791755-1776","https://www.cars.com/vehicledetail/detail/754188810/overview/","5TDKZRFH1KS554633","New 2019 Toyota Highlander XLE"
"1541789556-1039","https://www.cars.com/vehicledetail/detail/754189849/overview/","2G1105S34K9120667","New 2019 Chevrolet Impala Premier 2LZ"
"1541787596-140","https://www.cars.com/vehicledetail/detail/754190760/overview/","3FAHP0JG6AR306847","Used 2010 Ford Fusion SEL"
"1541787632-153","https://www.cars.com/vehicledetail/detail/754190747/overview/","1C6SRFBT3KN726764","New 2019 RAM 1500 Big Horn"
"1541790635-1424","https://www.cars.com/vehicledetail/detail/754189346/overview/","null","Used 2010 BMW 335 i xDrive"
"1541787317-10","https://www.cars.com/vehicledetail/detail/754190890/overview/","null","null"
"1541789672-1087","https://www.cars.com/vehicledetail/detail/754189796/overview/","WBA4J3C5XKBL08997","New 2019 BMW 430 Gran Coupe i xDrive"
"1541788056-352","https://www.cars.com/vehicledetail/detail/754190548/overview/","3GCUKREC4FG215954","Used 2015 Chevrolet Silverado 1500 1LT"
"1541788836-711","https://www.cars.com/vehicledetail/detail/754190186/overview/","4A4AR3AU5DE012059","Used 2013 Mitsubishi Outlander Sport ES"
"1541790493-1378","https://www.cars.com/vehicledetail/detail/754189412/overview/","JTEBU5JR1G5391451","Used 2016 Toyota 4Runner SR5"
"1541788395-507","https://www.cars.com/vehicledetail/detail/754190390/overview/","SADHD2S13K1F61516","New 2019 Jaguar I-PACE HSE"
"1541787626-150","https://www.cars.com/vehicledetail/detail/754190750/overview/","3C4PDCAB8JT530970","New 2018 Dodge Journey SE"
"1541790793-1477","https://www.cars.com/vehicledetail/detail/754189274/overview/","3C6RR6KT6EG264289","Used 2014 RAM 1500 Tradesman/Express"
"1541789320-938","https://www.cars.com/vehicledetail/detail/754189958/overview/","null","New 2019 Subaru Ascent Touring 7-Passenger"
"1541791939-1835","https://www.cars.com/vehicledetail/detail/754188722/overview/","KNAGD128165438045","Used 2006 Kia Optima EX"
"1541790010-1224","https://www.cars.com/vehicledetail/detail/754189636/overview/","5TDEZ3DC1KS216182","New 2019 Toyota Sienna SE"
"1541787321-12","https://www.cars.com/vehicledetail/detail/754190888/overview/","JTMZFREV5JJ208482","New 2018 Toyota RAV4 LE"
"1541791680-1752","https://www.cars.com/vehicledetail/detail/754188847/overview/","4T1B11HK9KU699251","New 2019 Toyota Camry LE"
"1541790985-1546","https://www.cars.com/vehicledetail/detail/754189185/overview/","2C4RC1BG2KR555121","New 2019 Chrysler Pacifica Touring L"
"1541790308-1313","https://www.cars.com/vehicledetail/detail/754189502/overview/","5TDDZ3DC6KS214147","New 2019 Toyota Sienna XLE"
"1541788753-671","https://www.cars.com/vehicledetail/detail/754190226/overview/","JTJYARBZ7G2023030","Used 2016 Lexus NX 200t Base"
"1541788730-660","https://www.cars.com/vehicledetail/detail/754190237/overview/","5J8TC2H39KL021849","New 2019 Acura RDX Base"
"1541787644-159","https://www.cars.com/vehicledetail/detail/754190741/overview/","1FTFW1EV8AFC85113","Used 2010 Ford F-150 XLT"
"1541791741-1770","https://www.cars.com/vehicledetail/detail/754188817/overview/","5YFBURHE8KP899569","New 2019 Toyota Corolla SE"
"1541788515-565","https://www.cars.com/vehicledetail/detail/754190332/overview/","3MZBN1K76JM258075","New 2018 Mazda Mazda3 Sport"
"1541791227-1632","https://www.cars.com/vehicledetail/detail/754189069/overview/","2HGES26733H527807","Used 2003 Honda Civic EX"
"1541789837-1154","https://www.cars.com/vehicledetail/detail/754189720/overview/","1GNSKJKC8GR192913","Used 2016 Chevrolet Suburban LTZ"
"1541787905-280","https://www.cars.com/vehicledetail/detail/754190620/overview/","null","New 2017 Chevrolet Silverado 1500 SWB, 4WD, Reg Cab Pickup"
"1541789069-821","https://www.cars.com/vehicledetail/detail/754190075/overview/","JN8AZ18W59W143162","Used 2009 Nissan Murano SL"
"1541789569-1045","https://www.cars.com/vehicledetail/detail/754189843/overview/","1HGCV1F12KA000259","New 2019 Honda Accord LX"
"1541789577-1049","https://www.cars.com/vehicledetail/detail/754189839/overview/","JTMBFREV5JD256158","New 2018 Toyota RAV4 LE"
"1541789413-979","https://www.cars.com/vehicledetail/detail/754189917/overview/","1V2LR2CA9JC513409","Used 2018 Volkswagen Atlas 3.6L SE w/Technology"
"1541788461-539","https://www.cars.com/vehicledetail/detail/754190358/overview/","2FMPK4K99KBB04253","New 2019 Ford Edge Titanium"
"1541788803-695","https://www.cars.com/vehicledetail/detail/754190202/overview/","3GNAXKEV8KS541686","New 2019 Chevrolet Equinox LT"
"1541790058-1242","https://www.cars.com/vehicledetail/detail/754189612/overview/","null","null"
"1541790739-1458","https://www.cars.com/vehicledetail/detail/754189300/overview/","1HGCV1F46JA265677","New 2018 Honda Accord EX"
"1541789852-1161","https://www.cars.com/vehicledetail/detail/754189713/overview/","5TFCZ5AN1HX088313","Used 2017 Toyota Tacoma TRD Off Road"
"1541790592-1412","https://www.cars.com/vehicledetail/detail/754189366/overview/","4S3BMBH60E3009899","Used 2014 Subaru Legacy 2.5i Sport"
"1541789770-1129","https://www.cars.com/vehicledetail/detail/754189749/overview/","WBA8A3C55GK690137","Used 2016 BMW 320 i xDrive"
"1541789828-1151","https://www.cars.com/vehicledetail/detail/754189724/overview/","1FAHP3F22CL410736","Used 2012 Ford Focus SE"
"1541788915-749","https://www.cars.com/vehicledetail/detail/754190148/overview/","19XFB2F57EE261563","Used 2014 Honda Civic LX"
"1541790207-1270","https://www.cars.com/vehicledetail/detail/754189551/overview/","5TFCZ5AN1KX171733","New 2019 Toyota Tacoma TRD Off Road"
"1541788776-682","https://www.cars.com/vehicledetail/detail/754190215/overview/","5TDZA22C06S532457","Used 2006 Toyota Sienna XLE"
"1541787736-203","https://www.cars.com/vehicledetail/detail/754190697/overview/","4T1B11HK1KU705043","New 2019 Toyota Camry XLE"
"1541789479-1006","https://www.cars.com/vehicledetail/detail/754189886/overview/","4S4BSBCC1G3295487","Used 2016 Subaru Outback 2.5i Premium"
"1541789387-967","https://www.cars.com/vehicledetail/detail/754189929/overview/","JTMRFREV2JJ255131","New 2018 Toyota RAV4 XLE"
"1541789687-1093","https://www.cars.com/vehicledetail/detail/754189789/overview/","1N4AL3AP2HC224587","Used 2017 Nissan Altima 2.5 SV"
"1541789303-930","https://www.cars.com/vehicledetail/detail/754189966/overview/","4S4BSAHC6K3248516","New 2019 Subaru Outback 2.5i"
"1541789305-931","https://www.cars.com/vehicledetail/detail/754189965/overview/","null","Used 2008 Nissan Titan LE King Cab"
"1541792148-1906","https://www.cars.com/vehicledetail/detail/754188619/overview/","4JGBF7BE8AA610471","Used 2010 Mercedes-Benz GL 450 4MATIC"
"1541792039-1875","https://www.cars.com/vehicledetail/detail/754188673/overview/","2FMPK4G97KBB24235","New 2019 Ford Edge SE"
"1541787525-109","https://www.cars.com/vehicledetail/detail/754190791/overview/","null","New 2018 GMC Yukon 4WD"
"1541787375-38","https://www.cars.com/vehicledetail/detail/754190862/overview/","1GT42YEY1JF142462","New 2018 GMC Sierra 3500 4WD, Crew Cab"
"1541788219-425","https://www.cars.com/vehicledetail/detail/754190472/overview/","1GNKVHKD4GJ148768","Used 2016 Chevrolet Traverse 2LT"
"1541791743-1771","https://www.cars.com/vehicledetail/detail/754188816/overview/","5YFBURHE4KP899049","New 2019 Toyota Corolla SE"
"1541789094-832","https://www.cars.com/vehicledetail/detail/754190064/overview/","3GNAXUEV8KL177663","New 2019 Chevrolet Equinox LT"
"1541788526-570","https://www.cars.com/vehicledetail/detail/754190327/overview/","KMHCT4AE7FU855278","Used 2015 Hyundai Accent GLS"
"1541792146-1905","https://www.cars.com/vehicledetail/detail/754188620/overview/","null","null"
"1541787813-235","https://www.cars.com/vehicledetail/detail/754190665/overview/","JM1NDAB77K0301023","New 2019 Mazda MX-5 Miata Sport"
"1541792136-1902","https://www.cars.com/vehicledetail/detail/754188625/overview/","3GTU2PEJ2JG541442","New 2018 GMC Sierra 1500 Denali"
"1541787663-168","https://www.cars.com/vehicledetail/detail/754190732/overview/","null","New 2018 GMC Acadia SLT1 FWD"
"1541790713-1449","https://www.cars.com/vehicledetail/detail/754189311/overview/","WBA8E9C50GK648272","Used 2016 BMW 328 i"
"1541788387-503","https://www.cars.com/vehicledetail/detail/754190394/overview/","1N4AA6AP4JC408085","New 2018 Nissan Maxima 3.5 S"
"1541787624-149","https://www.cars.com/vehicledetail/detail/754190751/overview/","3C4PDCABXJT530971","New 2018 Dodge Journey SE"
"1541792150-1907","https://www.cars.com/vehicledetail/detail/754188618/overview/","2CTFLUE53B6318822","Used 2011 GMC Terrain SLT-1"
"1541790724-1453","https://www.cars.com/vehicledetail/detail/754189306/overview/","JA4AP3AU9GZ024638","Used 2016 Mitsubishi Outlander Sport 2.0 ES"
"1541789680-1090","https://www.cars.com/vehicledetail/detail/754189792/overview/","1FTFW1CV3AKB36604","Used 2010 Ford F-150 XLT SuperCrew"
"1541787648-161","https://www.cars.com/vehicledetail/detail/754190739/overview/","1C6SRFMT5KN719232","New 2019 RAM 1500 Big Horn"
"1541787897-276","https://www.cars.com/vehicledetail/detail/754190624/overview/","null","New 2018 Chevrolet Colorado Z71/ZR2 Crew Cab, Short Box"
"1541790886-1511","https://www.cars.com/vehicledetail/detail/754189231/overview/","5TFRM5F14KX136764","New 2019 Toyota Tundra SR"
"1541789399-972","https://www.cars.com/vehicledetail/detail/754189924/overview/","5J6TF2H58DL005212","Used 2013 Honda Crosstour EX-L"
"1541791559-1717","https://www.cars.com/vehicledetail/detail/754188907/overview/","JF2SKAWC7KH430110","New 2019 Subaru Forester 2.5i Touring"
"1541787429-63","https://www.cars.com/vehicledetail/detail/754190837/overview/","1GCRYDED1KZ171373","New 2019 Chevrolet Silverado 1500 LT"
"1541790332-1321","https://www.cars.com/vehicledetail/detail/754189490/overview/","5N1AN0NU7AC510598","Used 2010 Nissan Xterra X"
"1541788383-501","https://www.cars.com/vehicledetail/detail/754190396/overview/","null","New 2017 Buick LaCrosse Premium (1SP) AWD"
"1541791233-1635","https://www.cars.com/vehicledetail/detail/754189066/overview/","3CZRM3H35FG703992","Used 2015 Honda CR-V LX"
"1541790338-1323","https://www.cars.com/vehicledetail/detail/754189487/overview/","1GKS2CKJ8KR213145","New 2019 GMC Yukon Denali"
"1541791871-1808","https://www.cars.com/vehicledetail/detail/754188755/overview/","5NPD84LF3KH418432","New 2019 Hyundai Elantra SEL"
"1541790751-1463","https://www.cars.com/vehicledetail/detail/754189294/overview/","1C4BJWDG1GL262800","Used 2016 Jeep Wrangler Unlimited Sport"
"1541788278-452","https://www.cars.com/vehicledetail/detail/754190445/overview/","KMHTH6AB8KU014602","New 2019 Hyundai Veloster Turbo Ultimate"
"1541790882-1510","https://www.cars.com/vehicledetail/detail/754189233/overview/","5FNYF6H02HB077295","Used 2017 Honda Pilot Elite"
"1541788197-414","https://www.cars.com/vehicledetail/detail/754190483/overview/","5XYZUDLBXDG051201","Used 2013 Hyundai Santa Fe Sport"
"1541791880-1812","https://www.cars.com/vehicledetail/detail/754188751/overview/","3KPC24A35KE058137","New 2019 Hyundai Accent SEL"
"1541788740-665","https://www.cars.com/vehicledetail/detail/754190232/overview/","2GNAXLEX4K6156079","New 2019 Chevrolet Equinox LT"
"1541787671-172","https://www.cars.com/vehicledetail/detail/754190728/overview/","1C6SRFBTXKN719214","New 2019 RAM 1500 Big Horn"
"1541791448-1690","https://www.cars.com/vehicledetail/detail/754188962/overview/","WDD2J5KB8KA011042","New 2019 Mercedes-Benz CLS 450 Base"
"1541787619-147","https://www.cars.com/vehicledetail/detail/754190753/overview/","2C3CDZAG8KH557615","New 2019 Dodge Challenger SXT"
"1541791884-1814","https://www.cars.com/vehicledetail/detail/754188749/overview/","KM8K22AA5KU212423","New 2019 Hyundai Kona SEL"
"1541788105-372","https://www.cars.com/vehicledetail/detail/754190525/overview/","3VWC57BU7KM051869","New 2019 Volkswagen Jetta 1.4T S"
"1541788099-369","https://www.cars.com/vehicledetail/detail/754190528/overview/","3VV1B7AX1KM009116","New 2019 Volkswagen Tiguan 2.0T S"
"1541789697-1097","https://www.cars.com/vehicledetail/detail/754189784/overview/","5N1AZ2MG5JN197129","New 2018 Nissan Murano S"
"1541788228-429","https://www.cars.com/vehicledetail/detail/754190468/overview/","4S3BNAF69K3012788","New 2019 Subaru Legacy 2.5i Premium"
"1541788148-392","https://www.cars.com/vehicledetail/detail/754190505/overview/","null","Used 2005 Chevrolet Silverado 1500 LS Extended Cab"
"1541791335-1657","https://www.cars.com/vehicledetail/detail/754189016/overview/","JTMBFREV2JJ748096","New 2018 Toyota RAV4 LE"
"1541791692-1756","https://www.cars.com/vehicledetail/detail/754188841/overview/","5J8TC2H33KL017912","New 2019 Acura RDX Base"
"1541790880-1509","https://www.cars.com/vehicledetail/detail/754189234/overview/","2T2BK1BA7DC186190","Used 2013 Lexus RX 350"
"1541787636-155","https://www.cars.com/vehicledetail/detail/754190745/overview/","null","New 2018 GMC Acadia Denali FWD"
"1541788886-735","https://www.cars.com/vehicledetail/detail/754190162/overview/","2GKALNEK0H6218675","Used 2017 GMC Terrain SLE-2"
"1541788404-511","https://www.cars.com/vehicledetail/detail/754190386/overview/","1C4RJFAG4KC579322","New 2019 Jeep Grand Cherokee Altitude"
"1541787551-121","https://www.cars.com/vehicledetail/detail/754190779/overview/","1FMEU73E08UB24473","Used 2008 Ford Explorer XLT"
"1541789025-801","https://www.cars.com/vehicledetail/detail/754190096/overview/","null","New 2018 Chevrolet Silverado 2500 4WD Standard Box Crew Cab"
"1541788959-769","https://www.cars.com/vehicledetail/detail/754190128/overview/","WBAJA9C5XKB389098","New 2019 BMW 530e iPerformance"
"1541789796-1137","https://www.cars.com/vehicledetail/detail/754189740/overview/","null","null"
"1541787692-182","https://www.cars.com/vehicledetail/detail/754190718/overview/","1C4PJMLX8KD355652","New 2019 Jeep Cherokee Latitude Plus"
"1541788788-688","https://www.cars.com/vehicledetail/detail/754190209/overview/","1GNSKBKC3FR282720","Certified 2015 Chevrolet Tahoe LT"
"1541791998-1858","https://www.cars.com/vehicledetail/detail/754188693/overview/","MAJ6S3GL0KC252019","New 2019 Ford EcoSport SE"
"1541787895-275","https://www.cars.com/vehicledetail/detail/754190625/overview/","1GKEV23768J244175","Used 2008 GMC Acadia SLT1"
"1541790260-1292","https://www.cars.com/vehicledetail/detail/754189525/overview/","KMHDN56D25U132621","Used 2005 Hyundai Elantra GLS"
"1541788295-460","https://www.cars.com/vehicledetail/detail/754190437/overview/","null","null"
"1541788943-763","https://www.cars.com/vehicledetail/detail/754190134/overview/","5UXCR6C56KLK81038","New 2019 BMW X5 xDrive40i"
"1541791788-1789","https://www.cars.com/vehicledetail/detail/754188794/overview/","JTEBU5JR8G5324765","Used 2016 Toyota 4Runner Limited"
"1541788036-342","https://www.cars.com/vehicledetail/detail/754190558/overview/","1C6RR6LT7KS529112","New 2019 RAM 1500 Lone Star"
"1541789513-1020","https://www.cars.com/vehicledetail/detail/754189870/overview/","3C4NJDBB3JT161195","Used 2018 Jeep Compass Latitude"
"1541790554-1398","https://www.cars.com/vehicledetail/detail/754189382/overview/","3C6TRVAG1HE508600","Used 2017 RAM ProMaster 1500 Low Roof"
"1541789391-969","https://www.cars.com/vehicledetail/detail/754189927/overview/","3GCUKSEC7JG605821","New 2018 Chevrolet Silverado 1500 LTZ"
"1541790387-1342","https://www.cars.com/vehicledetail/detail/754189463/overview/","2T2BZMCA4KC173261","New 2019 Lexus RX 350 Base"
"1541787718-195","https://www.cars.com/vehicledetail/detail/754190705/overview/","WP0AB2A73JL136855","New 2018 Porsche Panamera 4S"
"1541787555-123","https://www.cars.com/vehicledetail/detail/754190777/overview/","null","New 2018 GMC Acadia Denali AWD"
"1541788850-718","https://www.cars.com/vehicledetail/detail/754190179/overview/","JTHBK1GGXG2215278","Used 2016 Lexus ES 350 Base"
"1541790088-1251","https://www.cars.com/vehicledetail/detail/754189601/overview/","5XYPGDA36HG188586","Certified 2017 Kia Sorento LX"
"1541788722-656","https://www.cars.com/vehicledetail/detail/754190241/overview/","4T1BF1FK2GU585071","Certified 2016 Toyota Camry XLE"
"1541789087-830","https://www.cars.com/vehicledetail/detail/754190066/overview/","1FTEW1E50JFE77637","New 2018 Ford F-150 XLT"
"1541788994-786","https://www.cars.com/vehicledetail/detail/754190111/overview/","null","New 2018 Chevrolet Silverado 1500 SWB, 2WD, Double Cab Pickup"
"1541790016-1227","https://www.cars.com/vehicledetail/detail/754189633/overview/","JM3KFBCM4J0471059","New 2018 Mazda CX-5 Touring"
